,SGC ID for Component,Comp Acc Mass,mz,SMILES,IA,IA_Peak1,IA_Peak2,IA_Rs,IA_ΔRT,IA_Mean RT,k1,k2,IA_α,IB,IB_Peak1,IB_Peak2,IB_Rs,IB_ΔRT,IB_Mean RT,k1,k2,IB_α,IC,IC_Peak1,IC_Peak2,IC_Rs,IC_ΔRT,IC_Mean RT,k1,k2,IC_α,IG,IG_Peak1,IG_Peak2,IG_Rs,IG_ΔRT,IG_Mean RT,k1,k2,IG_α
12254,XS848922a,306.1038134,307.1110984,CN(C(=O)CC1=CNC=2C=CC=CC12)C3CCS(=O)(=O)C3,RED,,,,,,,,,GREEN,11.394,11.583,0.378,0.189,11.4885,21.788,22.166,1.017348999,GREEN,11.79,13.824,4.068,2.034,12.807,22.58,27.648,1.224446413,GREEN,12.016,13.477,2.922,1.461,12.7465,23.032,25.954,1.126866968
12255,XS605734b,310.0542764,311.0615614,CC1=CSC(=O)N1CC(=O)NC(C)C=2C=CC=C(Cl)C2,GREEN,9.878,10.118,0.48,0.24,9.998,18.756,19.236,1.025591811,GREEN,9.994,10.423,0.858,0.429,10.2085,18.988,19.846,1.045186434,GREEN,11.276,11.518,0.484,0.242,11.397,21.552,23.036,1.068856719,GREEN,10.571,11.188,1.234,0.617,10.8795,20.142,21.376,1.061265018
12256,XS848926a,313.179027,314.186312,CCC1=C(C=NN1C=2C=CC(C)=CC2)C(=O)N3CCOC(C)C3,single,,,,,,,,,GREEN,11.688,11.879,0.382,0.191,11.7835,22.376,22.758,1.017071863,GREEN,18.259,18.607,0.696,0.348,18.433,35.518,37.214,1.047750436,GREEN,17.773,18.509,1.472,0.736,18.141,34.546,36.018,1.042609854
12257,XS841547b,311.1382248,312.1455098,C1=COC(=C1)C2N(CC32CCOCC3)C4=CN=CC5=NC=NN45,single,,,,,,,,,single,,,,,,,,,GREEN,14.745,15.86,2.23,1.115,15.3025,28.49,31.72,1.113373113,GREEN,17.372,20.121,5.498,2.749,18.7465,33.744,39.242,1.16293267
12258,XS842312b,309.1589602,310.1662452,CC=1C=CC2=CC(=CN=C2C1)NC(=O)C=3C=NN(C3)CC(C)N,single,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,single,,,,,,,,
12259,XS838662b,308.0272731,309.0345581,CNC=1C=NN(C(=O)C1Br)C(C)C=2C=CC=CN2,single,,,,,,,,,single,,,,,,,,,GREEN,12.341,12.708,0.734,0.367,12.5245,23.682,25.416,1.073220167,GREEN,10.017,10.647,1.26,0.63,10.332,19.034,20.294,1.066197331
12260,XS848923a,312.2062448,313.2135298,CC1=CC(C)=NN1C=2C=NC=C(N2)N3CCN4CCCCC4C3,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12261,XS848927a,308.1273258,309.1346108,CC(OC=1C=CC=CC1)C(=O)NC=2C=CC=NC2N3C=CC=N3,GREEN,15.002,15.218,0.432,0.216,15.11,29.004,29.436,1.014894497,single,,,,,,,,,check,,,,,,,,,GREEN,18.414,19.1,1.372,0.686,18.757,35.828,37.2,1.038294072
12262,XS836572b,310.1252176,311.1325026,CC1CCN(CC2=CN=C3C=NC=CN23)C=4C=CC=CC4S1,GREEN,14.71,14.924,0.428,0.214,14.817,28.42,28.848,1.015059817,GREEN,15.038,15.456,0.836,0.418,15.247,29.076,29.912,1.028752236,single,,,,,,,,,GREEN,23.23,24.583,2.706,1.353,23.9065,45.46,48.166,1.059524857
12263,XS848930a,306.2055761,307.2128611,CC1=NN(CC(C)C)C(C)=C1CC(=O)N2CCC(C2)C(N)=O,single,,,,,,,,,single,,,,,,,,,GREEN,9.707,10.647,1.88,0.94,10.177,18.414,21.294,1.156402737,single,,,,,,,,
12264,XS848928a,310.1429758,311.1502608,CCN1CC(CC1=O)C(=O)NC=2C=NC(=NC2)C=3C=CC=CC3,single,,,,,,,,,RED,,,,,,,,,GREEN,16.74,18.151,2.822,1.411,17.4455,32.48,36.302,1.117672414,GREEN,20.815,21.12,0.61,0.305,20.9675,40.63,41.24,1.015013537
12265,XS409080b,313.1361166,314.1434016,CCC1=CSC(=N1)C2CCCN(C2)C=3N=CN=C4NC=CC34,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,11.35,11.809,0.918,0.459,11.5795,21.7,22.618,1.042304147
12266,XS848929a,312.1197958,313.1270808,CC(=O)N1CCCC(C1)C2=NN=C3C=CC(=CN23)C(F)(F)F,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
12267,XS837968b,312.0744051,313.0816901,O=S(=O)(CC=1C=CC=CN1)NC(CF)C=2C=CC(F)=CC2,GREEN,10.033,11.07,2.074,1.037,10.5515,19.066,21.14,1.108780027,GREEN,8.935,9.159,0.448,0.224,9.047,16.87,17.318,1.026556017,check,,,,,,,,,GREEN,12.732,13.82,2.176,1.088,13.276,24.464,26.64,1.088947024
12268,XS839365b,308.1637113,309.1709963,N#CC=1C=CC(=CN1)N2CCCC(C2)NC/C=C/C3=CC=CO3,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,6.152,7.289,2.274,1.137,6.7205,11.304,13.578,1.201167728
12269,XS716343b,306.1401989,307.1474839,CN(CC=1C=CSC1)C(=O)C2CC(=O)N(C2)C3CCCC3,GREEN,12.657,13.506,1.698,0.849,13.0815,24.314,26.012,1.069836308,GREEN,10.832,11.527,1.39,0.695,11.1795,20.664,22.054,1.067266744,GREEN,17.797,21.406,7.218,3.609,19.6015,34.594,42.812,1.237555645,GREEN,17.486,22.498,10.024,5.012,19.992,33.972,43.996,1.295066525
12270,XS194241d,311.0825397,312.0898247,O=C1CC(CN1C=2C=CC=C(Cl)C2)C3=NC=4C=CC=CC4N3,GREEN,9.675,11.59,3.83,1.915,10.6325,18.35,22.18,1.208719346,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12271,XS848924a,312.1586259,313.1659109,O=C(C=1C=CC=2CCCC2C1)N3CCC(O)(CN4C=CN=N4)C3,GREEN,9.637,10.321,1.368,0.684,9.979,18.274,19.642,1.074860457,GREEN,9.265,9.454,0.378,0.189,9.3595,17.53,17.908,1.021563035,single,,,,,,,,,GREEN,13.639,15.898,4.518,2.259,14.7685,26.278,30.796,1.171930893
12272,XS842366b,314.0949801,315.1022651,CC(NC(=O)C1=CNN=C1C=2C=CC=CC2)C3=NN=C(N)S3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,6.577,7.191,1.228,0.614,6.884,12.154,13.382,1.101036696
12273,XS839486b,309.064649,310.071934,O=S(=O)(CC=1C=NC=C(C1)C(F)(F)F)CC2CCOC2,GREEN,23.908,26.934,6.052,3.026,25.421,46.816,52.868,1.129272044,single,,,,,,,,,check,,,,,,,,,RED,,,,,,,,
12274,XS716172b,313.1538748,314.1611598,N#CC=1C=CN=C(C1)N2CCN(CC2)C(=O)C3CCC(=O)NC3,RED,,,,,,,,,GREEN,10.126,10.423,0.594,0.297,10.2745,19.252,19.846,1.030853937,GREEN,24.206,25.784,3.156,1.578,24.995,47.412,51.568,1.087657133,GREEN,21.234,24.488,6.508,3.254,22.861,41.468,47.976,1.156940291
12275,XS838627b,310.1793613,311.1866463,NC(=O)CC=1C=CC=CC1C2=CN(N=N2)C3C=CCCCCC3,GREEN,13.439,13.904,0.93,0.465,13.6715,25.878,26.808,1.035937862,single,,,,,,,,,GREEN,15.28,16.356,2.152,1.076,15.818,29.56,32.712,1.106630582,GREEN,22.1,23.044,1.888,0.944,22.572,43.2,45.088,1.043703704
12276,XS842704b,311.1633769,312.1706619,CC(C1CC1)N2N=C(CCC2=O)C=3C=CC=4NC(=O)CCC4C3,GREEN,12.099,12.311,0.424,0.212,12.205,23.198,23.622,1.018277438,single,,,,,,,,,single,,,,,,,,,GREEN,14.478,15.352,1.748,0.874,14.915,27.956,29.704,1.062526828
12277,XS848931a,307.1419728,308.1492578,COC=1C=CC(=CC1)OCC(O)CN2C(=O)CC(C)(C)C2=O,check,,,,,,,,,single,,,,,,,,,GREEN,11.489,11.916,0.854,0.427,11.7025,21.978,23.832,1.084357084,single,,,,,,,,
12278,XS848925a,309.1398646,310.1471496,O=S(=O)(NCCC1CCCO1)C=2C=CC=3CCCCC3C2,check,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,20.767,21.101,0.668,0.334,20.934,40.534,41.202,1.016479992
12279,XS848941a,318.2055761,319.2128611,CC(CNC(=O)C=1C=CC=NC1N2CCOCC2)N3CCCC3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12280,XS837338b,318.0762167,319.0835017,O=C(CC=1C=NSC1)N2CCCCC2C3(N=N3)C(F)(F)F,GREEN,10.926,11.282,0.712,0.356,11.104,20.852,21.564,1.034145406,GREEN,10.126,10.338,0.424,0.212,10.232,19.252,19.676,1.022023686,single,,,,,,,,,GREEN,15.277,15.832,1.11,0.555,15.5545,29.554,30.664,1.037558368
12281,XS848933a,315.1331394,316.1404244,C1=CN(CC2CN(CC3=NC(=NO3)C=4C=COC4)CCO2)N=C1,GREEN,12.726,14.517,3.582,1.791,13.6215,24.452,28.034,1.146491085,single,,,,,,,,,check,,,,,,,,,GREEN,20.59,24.154,7.128,3.564,22.372,40.18,47.308,1.177401692
12282,XS550664b,314.1742759,315.1815609,CC1=NN(C)C(C)=C1CNC(=O)C2NCCOC=3C=CC=CC32,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12283,XS848936a,318.1379707,319.1452557,O=C(CCC1=NC=C(O1)C=2C=CC(F)=CC2)NCC3CCCO3,GREEN,14.846,16.491,3.29,1.645,15.6685,28.692,31.982,1.114666109,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12284,XS840239b,317.0946457,318.1019307,CN1CC(NCC1=O)C(=O)NC=2C=CC(=CC2)C3=CSN=N3,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
12285,XS841589b,316.1357823,317.1430673,CN1CCN(CC21CCOC2)C3=NC(=NS3)C=4C=CC=CC4,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,check,,,,,,,,
12286,XS837268b,319.1507615,320.1580465,CC(C)C=1C=C(NC(=O)CN2CCCC(C2)C(F)(F)F)ON1,GREEN,8.998,9.666,1.336,0.668,9.332,16.996,18.332,1.078606731,single,,,,,,,,,single,,,,,,,,,GREEN,11.245,11.914,1.338,0.669,11.5795,21.49,22.828,1.062261517
12287,XS836819b,316.189926,317.197211,CC(C)C1N(CC21CCCC2)C3=C(C#N)C(=O)N(C)C(=O)N3C,GREEN,11.714,11.936,0.444,0.222,11.825,22.428,22.872,1.019796683,GREEN,12.842,13.262,0.84,0.42,13.052,24.684,25.524,1.034030141,GREEN,21.827,22.683,1.712,0.856,22.255,42.654,45.366,1.063581376,GREEN,17.295,18.414,2.238,1.119,17.8545,33.59,35.828,1.066626972
12288,XS848935a,316.1647739,317.1720589,O=C(C=1C=C(NN1)C2CC2)N3CCCC(O)(CN4C=CN=N4)C3,check,,,,,,,,,GREEN,6.717,6.967,0.5,0.25,6.842,12.434,12.934,1.040212321,GREEN,9.422,9.648,0.452,0.226,9.535,17.844,19.296,1.08137189,GREEN,10.817,18.985,16.336,8.168,14.901,20.634,36.97,1.791703014
12289,XS848939a,314.1266571,315.1339421,CCN1C(=O)C=2C=CC=CC2NC1C3=CC(C(=O)OC)=C(C)O3,single,,,,,,,,,GREEN,11.034,11.727,1.386,0.693,11.3805,21.068,22.454,1.065786976,GREEN,12.225,12.825,1.2,0.6,12.525,23.45,25.65,1.093816631,GREEN,10.817,11.36,1.086,0.543,11.0885,20.634,21.72,1.052631579
12290,XS848938a,315.1582915,316.1655765,CC(C)N1N=C(C(=O)NCC2CCCO2)C=3C=CC=CC3C1=O,single,,,,,,,,,single,,,,,,,,,GREEN,18.279,18.477,0.396,0.198,18.378,35.558,36.954,1.039259801,GREEN,21.082,22.461,2.758,1.379,21.7715,41.164,43.922,1.067000292
12291,XS848942a,317.1739416,318.1812266,O=C(NCC=1C=CN=C(C1)OC2CCCC2)C3CCC(=O)NC3,single,,,,,,,,,GREEN,8.532,8.829,0.594,0.297,8.6805,16.064,16.658,1.036977092,single,,,,,,,,,single,,,,,,,,
12292,XS848943a,315.1052907,316.1125757,CC(C(N)=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2F,single,,,,,,,,,single,,,,,,,,,GREEN,10.116,10.396,0.56,0.28,10.256,19.232,20.792,1.081114809,GREEN,8.762,9.519,1.514,0.757,9.1405,16.524,18.038,1.091624304
12293,XS848932a,314.2358136,315.2430986,CC(NC(=O)CN1CCCCCC1)C=2C=CC=3CCCCC3C2,GREEN,6.233,6.506,0.546,0.273,6.3695,11.466,12.012,1.047619048,single,,,,,,,,,single,,,,,,,,,GREEN,7.626,8.097,0.942,0.471,7.8615,14.252,15.194,1.066095987
12294,XS848934a,318.1150468,319.1223318,CC1=NC(=CS1)CC(=O)N2CCCC2C3=NOC(=N3)C4CC4,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12295,XS848940a,320.1040035,321.1112885,CCN1C=NN=C1CNC(=O)C2COC=3C=CC(Cl)=CC3C2,GREEN,10.802,11.541,1.478,0.739,11.1715,20.604,22.082,1.071733644,single,,,,,,,,,GREEN,12.062,12.418,0.712,0.356,12.24,23.124,24.836,1.074035634,GREEN,15.993,18.308,4.63,2.315,17.1505,30.986,35.616,1.14942232
12296,XS785182b,319.2372105,320.2444955,CC1CCN(CC2CCCN(C2)C(=O)NC=3C=NN(C)C3)CC1,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12297,XS848937a,317.1375561,318.1448411,CCOC=1C=CC(=CC1)C(C)NC(=O)CN2NC(=O)C=CC2=O,check,,,,,,,,,GREEN,9.753,10.033,0.56,0.28,9.893,18.506,19.066,1.030260456,single,,,,,,,,,GREEN,11.445,13.486,4.082,2.041,12.4655,21.89,25.972,1.186477844
12298,XS819004b,319.1102958,320.1175808,CC(=O)NC1=NC(=CS1)C(=O)N2CCCC2CN3C=CC=N3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12299,XS742167b,319.1354479,320.1427329,CCC1=CSC(=N1)C2CCCN(C2)C(=O)C=3C(C)=NOC3C,GREEN,10.368,10.83,0.924,0.462,10.599,19.736,20.66,1.046817998,single,,,,,,,,,single,,,,,,,,,GREEN,13.601,15.277,3.352,1.676,14.439,26.202,29.554,1.127929166
12300,XS333944b,317.1600228,318.1673078,COC=1C=CN=C(N1)N2CCN(CC2)C(=O)C(C)N3C=NC=N3,GREEN,7.58,8.369,1.578,0.789,7.9745,14.16,15.738,1.111440678,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,
12301,XS396286b,318.1604374,319.1677224,CCC=1N=CN=C(C1F)N2CCCC(C2)C=3C=C(NN3)C(N)=O,GREEN,13.227,17.994,9.534,4.767,15.6105,25.454,34.988,1.374558026,single,,,,,,,,,GREEN,10.839,11.083,0.488,0.244,10.961,20.678,22.166,1.071960538,single,,,,,,,,
12302,XS840931b,320.1306969,321.1379819,CCN(CC=1N=CN(N1)C=2C=CC=CC2)C3CCS(=O)(=O)C3,GREEN,11.474,12.812,2.676,1.338,12.143,21.948,24.624,1.121924549,single,,,,,,,,,single,,,,,,,,,GREEN,24.154,24.812,1.316,0.658,24.483,47.308,48.624,1.027817705
12303,XS629335b,315.1807583,316.1880433,CCN1N=C(C=C1C2CC2)NC(=O)C3CN4C(C)=NN=C4CN3,single,,,,,,,,,GREEN,5.698,6.202,1.008,0.504,5.95,10.396,11.404,1.096960369,GREEN,9.156,9.854,1.396,0.698,9.505,17.312,19.708,1.138401109,single,,,,,,,,
12304,XS836723b,316.0915345,317.0988195,CC1CCCN(C1)C(=O)CN(C)S(=O)(=O)C2=CC=CS2,GREEN,15.924,17.067,2.286,1.143,16.4955,30.848,33.134,1.07410529,single,,,,,,,,,GREEN,15.28,15.512,0.464,0.232,15.396,29.56,31.024,1.049526387,single,,,,,,,,
12305,XS841587b,326.1161094,327.1233944,CC1(C)CC(CN1C2=NN=NN2CC=3C=CON3)S(C)(=O)=O,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,11.369,29.638,36.538,18.269,20.5035,21.738,58.276,2.680835403
12306,XS838395b,321.1688562,322.1761412,COC(=O)C1CCC2(CN(C2)C=3N=CC=C(N3)OC(C)C)CO1,GREEN,6.282,6.574,0.584,0.292,6.428,11.564,12.148,1.050501557,single,,,,,,,,,single,,,,,,,,,GREEN,8.954,9.414,0.92,0.46,9.184,16.908,17.828,1.054412113
12307,XS713764b,324.1473925,325.1546775,CC(C(=O)NCC=1C=CC=2OCOC2C1)N3CCC=4C=CC=CC43,GREEN,13.401,13.633,0.464,0.232,13.517,25.802,26.266,1.017983102,GREEN,13.824,14.855,2.062,1.031,14.3395,26.648,28.71,1.077379165,single,,,,,,,,,single,,,,,,,,
12308,XS848946a,325.1338884,326.1411734,CN1C=CN=C1C(NC(=O)NC=2C=CC=NC2)C=3C=CC=CC3F,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12309,XS841704b,323.1557667,324.1630517,CN(C(=O)NCCN1N=NC=2C=CC=CC21)C3CCC(F)(F)C3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,11.809,12.273,0.928,0.464,12.041,22.618,23.546,1.041029269
12310,XS784638b,324.1586259,325.1659109,CN(C=1C=CC=CC1)C=2C=CC(=CN2)C(=O)NC3CC(=O)N(C)C3,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
12311,XS836469b,320.1637113,321.1709963,CC(NC=1C=CC=C(C1)C=2NN=C3CCOCC23)C=4C=CN=CC4,check,,,,,,,,,RED,,,,,,,,,GREEN,9.785,10.396,1.222,0.611,10.0905,18.57,20.792,1.119655358,GREEN,8.954,12.369,6.83,3.415,10.6615,16.908,23.738,1.403950793
12312,XS841670b,325.1538748,326.1611598,O=C(CC1CC=2C=CC=CC2NC1=O)NC3=CN(CC4CC4)N=N3,single,,,,,,,,,GREEN,11.944,12.423,0.958,0.479,12.1835,22.888,23.846,1.041855994,GREEN,14.745,16.414,3.338,1.669,15.5795,28.49,32.828,1.152263952,check,,,,,,,,
12313,XS839190b,326.049191,327.056476,O=C1C=NC=2C=CC=C(Cl)C2N1CC3CCCS(=O)(=O)C3,GREEN,19.938,23.056,6.236,3.118,21.497,38.876,45.112,1.160407449,GREEN,17.632,18.633,2.002,1.001,18.1325,34.264,36.266,1.058428671,GREEN,22.876,23.463,1.174,0.587,23.1695,44.752,46.926,1.048578834,GREEN,13.458,28.081,29.246,14.623,20.7695,25.916,55.162,2.128492051
12314,XS642222b,324.1950114,325.2022964,O=C(CCN1CCCC1CN2C=CC=N2)N3CCC=4C=CC=CC43,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12315,XS636791b,321.0590274,322.0663124,O=C(NCC1CCCO1)C2=CC=C(S2)C=3C=CC(Cl)=CC3,GREEN,19.733,20.913,2.36,1.18,20.323,38.466,40.826,1.061352883,single,,,,,,,,,single,,,,,,,,,GREEN,20.525,27.996,14.942,7.471,24.2605,40.05,54.992,1.373083645
12316,XS848945a,321.1147125,322.1219975,CN(C(=O)C1=CC=2C=CC=CC2N1)C3CCN(C3)S(C)(=O)=O,RED,,,,,,,,,GREEN,13.602,13.814,0.424,0.212,13.708,26.204,26.628,1.016180736,GREEN,15.377,15.677,0.6,0.3,15.527,29.754,31.354,1.053774282,single,,,,,,,,
12317,XS445463b,323.0724492,324.0797342,COC=1C=CC(Cl)=CC1NC(=O)C(C)OC=2C=CC(F)=CC2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,15.879,17.707,3.656,1.828,16.793,30.758,34.414,1.118863385
12318,XS838583b,322.1905947,323.1978797,CC=1NN=C(CN(CC2C=CCC2)C3=CC=NC4=CC=NN34)C1C,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,12.167,12.569,0.804,0.402,12.368,23.334,24.138,1.034456158
12319,XS841029b,324.0804729,325.0877579,O=S(=O)(F)C=1C=NC(=CN1)NC2CCN(C2)C=3N=CC=CN3,GREEN,15.002,24.057,18.11,9.055,19.5295,29.004,47.114,1.624396635,GREEN,12.642,13.347,1.41,0.705,12.9945,24.284,25.694,1.058062922,GREEN,14.407,15.27,1.726,0.863,14.8385,27.814,30.54,1.098008197,single,,,,,,,,
12320,XS848944a,322.1292978,323.1365828,CC(C=1C=CC(F)=CC1)N(C)CC(=O)NC=2C=C(F)C=CC2F,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,10.017,10.284,0.534,0.267,10.1505,19.034,19.568,1.028055059
12321,XS848947a,325.179027,326.186312,CC(C(=O)NC=1C=CC=CC1)N2CCN(CC2)C=3C=CC(O)=CC3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,6.81,8.058,2.496,1.248,7.434,12.62,15.116,1.1977813
12322,XS841241b,325.1460126,326.1532976,CC=1C=CC(=CC1)S(=O)(=O)NCCN(C)CC=2CC(C)ON2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,6.752,7.539,1.574,0.787,7.1455,12.504,14.078,1.125879718
12323,XS615642b,324.1197958,325.1270808,O=C(NCC(F)(F)F)C1CCCN1C=2C=NC3=CC=CC=C3N2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12324,XS841514b,322.0735759,323.0808609,O=C(NC=1C=CC=C(C1)N2C=CNC2=O)C3CCS(=O)(=O)N3,RED,,,,,,,,,GREEN,7.474,8.106,1.264,0.632,7.79,13.948,15.212,1.090622311,GREEN,9.727,10.232,1.01,0.505,9.9795,18.454,20.464,1.108919475,GREEN,8.954,10.18,2.452,1.226,9.567,16.908,19.36,1.145020109
12325,XS837216b,323.1245468,324.1318318,CN1N=CC=C1C(=O)N2CCC=3C=CC=CC3C2(C)C(F)(F)F,single,,,,,,,,,GREEN,11.202,11.688,0.972,0.486,11.445,21.404,22.376,1.045412073,GREEN,12.602,12.796,0.388,0.194,12.699,24.204,25.592,1.057345893,GREEN,12.76,13.315,1.11,0.555,13.0375,24.52,25.63,1.045269168
12326,XS699714b,322.1681279,323.1754129,O=C(C(C=1C=CC=CC1)N2CCC=3C=CC=CC32)N4CCOCC4,GREEN,11.955,12.446,0.982,0.491,12.2005,22.91,23.892,1.042863378,GREEN,12.996,13.347,0.702,0.351,13.1715,24.992,25.694,1.028088988,GREEN,14.61,15.203,1.186,0.593,14.9065,28.22,30.406,1.077462792,GREEN,15.201,17.64,4.878,2.439,16.4205,29.402,34.28,1.165907081
12327,XS681772b,321.1477268,322.1550118,COC=1C=CC=C(C1)C2CCCN2C(=O)C=3C=CC=C4C=NNC34,GREEN,13.826,26.666,25.68,12.84,20.246,26.652,52.332,1.963529941,GREEN,12.127,12.938,1.622,0.811,12.5325,23.254,24.876,1.069751441,GREEN,16.868,17.62,1.504,0.752,17.244,32.736,35.24,1.076490714,RED,,,,,,,,
12328,XS842085b,326.1378904,327.1451754,CC1=NC=2CC(CCC2N1)C(=O)NC=3C=CC=4OCC(=O)NC4C3,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,
12329,XS841118b,325.0896406,326.0969256,CC=1C=CC(=CC1NC(=O)C(C)C=2C=NN(C)C2)S(=O)(=O)F,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,,GREEN,10.676,11.407,1.462,0.731,11.0415,20.352,21.814,1.071835692
12330,XS798674b,323.2109958,324.2182808,CN1C=CN=C1C(NCC=2C=NN(C2)C(C)(C)C)C=3C=CC=CC3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12331,XS842052b,331.1087545,332.1160395,CC=1C=CC2=C(C=CN=C2C1Cl)NCC3CN(C(=O)O3)C4CC4,GREEN,5.92,6.506,1.172,0.586,6.213,10.84,12.012,1.108118081,single,,,,,,,,,single,,,,,,,,,GREEN,7.415,8.598,2.366,1.183,8.0065,13.83,16.196,1.171077368
12332,XS840309b,330.0245176,331.0318026,CC(C1=NC(=NO1)C2=CC=CS2)N3C=NC=4SC=CC4C3=O,GREEN,23.68,24.969,2.578,1.289,24.3245,46.36,48.938,1.055608283,single,,,,,,,,,GREEN,16.937,17.306,0.738,0.369,17.1215,32.874,34.612,1.052868528,GREEN,11.008,11.667,1.318,0.659,11.3375,21.016,22.334,1.062714123
12333,XS848949a,327.0218534,328.0291384,OC1CCCN(CC2=NN=C(O2)C3=CC=C(Br)O3)C1,check,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,10.97,11.667,1.394,0.697,11.3185,20.94,22.334,1.066571156
12334,XS848956a,328.1535405,329.1608255,CC=1C=C(NC(=O)C=2C=CC=C(C2)NC(=O)C3CCCO3)N(C)N1,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,14.879,16.368,2.978,1.489,15.6235,28.758,31.736,1.103553794
12335,XS839036b,329.1197978,330.1270828,CC1=CC(C)=NC(NCC(C)S(=O)(=O)C=2C=CC=CC2)=C1C#N,GREEN,12.996,13.41,0.828,0.414,13.203,24.992,25.82,1.033130602,single,,,,,,,,,GREEN,17.875,18.842,1.934,0.967,18.3585,34.75,37.684,1.084431655,GREEN,20.767,21.463,1.392,0.696,21.115,40.534,41.926,1.03434154
12336,XS848955a,327.1582915,328.1655765,CC1=NOC(CC2(O)CCCN(CC=3C=CC=C4C=COC34)C2)=N1,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12337,XS769908b,326.1742759,327.1815609,CC1CC2(CN1C(=O)C3=CC(=NO3)C=4C=CC=CN4)CCNCC2,RED,,,,,,,,,GREEN,12.996,13.3,0.608,0.304,13.148,24.992,25.6,1.024327785,GREEN,17.179,18.437,2.516,1.258,17.808,33.358,36.874,1.105402003,GREEN,18.537,19.042,1.01,0.505,18.7895,36.074,37.084,1.027998004
12338,XS842735b,328.0993968,329.1066818,NC(=O)C1CSCCN1C(=O)C=2C=NC=C(C2)C=3C=CC=CN3,check,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12339,XS848948a,330.1401989,331.1474839,COCC1=NC(=CS1)C(=O)N2CCCCC2CC=3C=CC=CC3,GREEN,12.668,13.506,1.676,0.838,13.087,24.336,26.012,1.068869165,GREEN,12.433,12.67,0.474,0.237,12.5515,23.866,24.34,1.01986089,single,,,,,,,,,GREEN,17.926,21.611,7.37,3.685,19.7685,34.852,42.222,1.211465626
12340,XS836685b,327.1153812,328.1226662,CC(C)(C)C(NC(=O)CN1C=NC(C#N)=C1C#N)C2=CC=CS2,single,,,,,,,,,GREEN,9.599,9.946,0.694,0.347,9.7725,18.198,18.892,1.038136059,RED,,,,,,,,,GREEN,9.376,10.571,2.39,1.195,9.9735,17.752,20.142,1.134632717
12341,XS848950a,329.1651885,330.1724735,CCN1C(CN2CCCC2C3=NOC(C)=N3)=NC=4C=C(F)C=CC41,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
12342,XS742081b,327.1695249,328.1768099,CC(C)C1C(=O)NCCN1C(=O)NC=2C=NN(C2)C=3C=CC=CC3,RED,,,,,,,,,GREEN,11.034,13.138,4.208,2.104,12.086,21.068,25.276,1.199734194,GREEN,11.829,20.213,16.768,8.384,16.021,22.658,40.426,1.784182187,GREEN,15.325,22.35,14.05,7.025,18.8375,29.65,43.7,1.47386172
